s.no,trainname,source,stations,platform,days
12861,visakhapatnam mahabubnagar superfast express,visakhapatnam,"visakhapatnam: --,06:40;
duvvada: 07:08,07:10;
anakapalli: 07:19,07:21;
tuni: 08:08,08:10;
annavaram: 08:23,08:25;
samalkot: 08:53,08:55;
rajamundry: 09:38,09:40;
tadepalligudem: 10:18,10:20;
eluru: 11:03,11:05;
rayanapadu: 12:30,12:35;
madhira: 01:09,01:10;
khammam:01:43,01:45;
dornakal: 02:03,02:05;
mahabubabad: 02:23,02:05;
warangal: 03:18,03:20;
kazipet: 03:33,03:35;
malkajgiri:06:18,06:20;
kacheguda: 06:45,06:55;
shadnagar: 07:44,07:45;
jadcherla: 08:15,08:16;
mahabubnagar:09:20,09:25",2,tuesday
17015,visakha express,visakhapatnam,"visakhapatnam :--,17:20;
duvvada:17:50,17:52;
anakapalli:18:00,18:02;
yelamanchili:18:18,18:20;
narsipatnam:18:38,18:40;
tuni:18:56,18:58;
annavaram:19:08,19:10;
pithapuram:19:33,19:35;
samalkot:19:43,19:45;
anaparthi:20:08,20:10;
rajamundry:20:38,20:40;
tadepalligudem:21:20,21:22;
eluru:22:03,22:05;
vijayawada:23:25,23:27;
khammam:01:08,01:10;
mahabubabad:01:47,01:49;
warangal:02:36,02:38;
kazipet:02:55,02:57;
secunderabad:05:10,05:12;
hyderabad deccan:06:15,06:17",3,"wednesday,thursday,friday"
12703,falaknuma express ,visakhapatnam,"visakhapatnam: --,22:35;
samalkot: 00:42,00:44;
rajamundry: 01:28,01:30;
tadepalligudem: 02:13,02:14;
eluru: 02:51,02:52;
vijayawada: 03:55,04:10;
guntur:05:10,05:23;
piduguralla:06:22,06:23;
miryalaguda: 07:43,07:45;
nalgonda: 08:11,08:13;
secunderabad: 10:10,10:01",1,"wednesday,thursday,friday"
12727,godavari superfast express,visakhapatnam,"visakhapatnam:  --,17:20;
duvvada: 17:50,17:52;
anakapalli:18:00,18:02;
yelamanchili:18:18,18:20;
narsipatnam:  18:38,18:40;
tuni:18:56,18:58;
annavaram:   19:08,19:10;
pithapuram:   19:33,19:35;
samalkot:    19:43,19:45;
anaparthi:    20:08,20:10;
rajamundry:    20:38,20:40;
tadepalligudem:    21:20,21:22;
eluru:    22:03,22:05;
vijayawada:    23:25,23:27; 
khammam:    01:08,01:10;
mahabubabad:     01:47,01:49;
warangal:      02:36,02:38;
kazipet:       02:55,02:57;
secunderabad:       05:10,05:12;
hyderabad deccan:       06:15,06:17",5,"wednesday,thursday,friday"
18519,visakhapatnam mumbai express,visakhapatnam,"visakhapatnam: --,23:28;
duvvada: 23:52,00:21;
pithapuram:02:00,02:01;
samalkot: 02:09,02:11;
rajamundry: 02:55,02:57;
tanuku: 03:48,03:50;
bhimavaram: 04:24,04:25;
akividu: 04:45,04:46;
kaikaluru: 04:57,05:00;
gudivada: 05:41,05:42;
vijayawada: 06:45,07:00;
kazipet: 10:57,10:59;
maula ali: 13:38,13:39;
secunderabad: 14:04,14:19;
lingampalli:14:56,14:57;
vikarabad: 15:30,15:31;
tandoor: 16:30,16:33;
wadi:17:41,17:46;
kalaburagi: 19:06,19:11;
solaput: 20:46,21:01;
pune: 00:40,00:45;
lokmanya tilak: 04:15,04:20",3,"wednesday,thursday,friday"
11020, konark express,visakhapatnam,"visakhapatnam: --,22:20;
anakapalli: 23:11,23:15;
tuni: 00:04,00:05;
pithapuram: 00:38,00:40;
samalkot: 00:49,00:50;
rajamundry: 01:40,01:46;
tadepalligudem: 02:43,02:45;
eluru: 03:20,03:24;
vijayawada: 04:40,04:55;
madhira: 05:59,06:00;
khammam: 06:35,06:38;
mahabubabad: 07:20,07:24;
warangal: 08:08,08:11;
kazipet: 08:26,08:29;
secunderabad: 10:50,11:00;
begampet: 11:29,11:32",6,"wednesday,thursday,friday"
185307,visakhapatnam durg express ,visakhapatnam,"visakhapatnam: --,16:59;
simhachalam: 17:18,17:20;
kothavalasa: 17:27,17:29;
vizianagaram:18:25,18:35;
gajapathinagaram: 18:57,18:59;
donkinavalasa: 19:19,19:21;
bobbili: 19:38,19:45;
seethanagaram: 19:48,19:50;
parvatipuram:20:08,20:11;
gumada: 20:29,20:31;
koneru: 20:36,20:38;
rayagada: 21:10,21:21;
singapuram: 21:35,21:37;
muniguda:22:39,22:40;
ambodala: 23:44,23:51;
lanjigarh: 00:03,00:05;
rupra: 00:25,00:27;
kandil: 00:39,00:41;
kesinga: 00:56,00:59;
titlagarh: 01:11,01:22;
muribahal: 01:47,01:51;
kantabanji: 02:07,02:08;
turekala: 02:36,02:38;
harishanker: 02:49,02:52;
nawapara: 03:17,03:19;
khariar: 03:35,03:39;
komakhan: 03:49,03:51;
bagbahra: 04:01,04:06;
mahasamund: 04:46,04:48;
belsonda: 04:56,04:58;
arang mahanadi: 05:14,05:17;
lakholi: 05:26,05:29;
mandir hasaud: 05:55,05:56;
raipur: 06:13,06:33;
sarona cabin: 06:47,06:48;
kumhari: 06:57,06:59;
devbaloda charoda: 07:04,07:12;
bhilai: 07:18,07:19;
bhilai power house: 07:23,07:25;
bhilai nagar: 07:30,07:31;
durg: 08:12,08:15",1,"wednesday,thursday,friday"
22883,garib rath express,visakhapatnam,"visakhapatnam:--,23:00;
duvvada : 23:23,23:25;
anakapalli: 23:40,23:42;
samalkot: 01:08,01:10;
rajamundry:02:03,02:05;
eluru: 03:18,03:20;
vijayawada: 04:50,05:00;
guntur: 06:10,06:15;
narasaraopet: 07:04,07:05;
markapur: 08:24,08:25;
nandyal: 10:55,11:00;
done: 12:18,12:20;
anantapur: 14:13,14:15;
dharmavaram: 15:05,15:10;
hindupur: 16:06,16:07;
yelhanka : 17:56,17:58;
yesvantpur:19:00,19:10",2,"monday,tuesday,wednesday,thursday,friday,saturday,sunday"
20805,andhra pradesh express,visakhapatnam,"visakhapatnam: --,22:02;
duvvada: 22:28,22:30;
anakapalli: 23:01,23:03;
samalkot:00:20,00:22;
rajamundry: 00:59,01:01;
tadepalligudem: 01:44,01:46;
eluru: 02:18,02:20;
vijayawada: 03:21, 03:45;
khammam: 05:31,05:32;
warangal: 07:09,07:11;
peddapalli: 08:09,08:18;
ramagundam: 08:32,08:33;
sirpur kagaznagar: 09:36,09:43;
balharshah:11:18,11:34;
chandrapur:11:50, 11:52;
nagpur:14:45,14:50;
bhopal : 20:20,20:32;
virangana laxmibai jhansi: 00:06,00:11;
gwalior : 01:17,01:23;
agra cantt: 02:40,02:42;
new delhi: 05:40,05:50",3,"tuesday,wednesday,thursday"
12717,ratnachal superfast express,visakhapatnam,"visakhapatnam:--,12:55;
duvvada:13:23,13:25;
anakapalli:13:39,13:40;
tuni:14:18,14:20;
annavaram:14:35,14:36;
samalkot :15:06,15:07;
anaparthi:15:34,15:35;
rajahmundry:15:53,15:55;
tadepalligudem:16:49,16:50;
eluru:17:29,17:30;
vijayawada:19:15,19:20",4,"monday,tuesday,wednesday,thursday,friday,saturday,sunday"
12830, mgr chennai central superfast express,visakhapatnam,"
visakhapatnam:--,19:10;
anakapalli:19:47,19:48;
tuni:20:19,20:20;
rajahmundry:21:49,21:45;
tadepalligudem:22:23,22:25;
eluru:23:08,23:10;
vijayawada :00:40,00:50;
tenali:01:19,01:20;
chirala:02:04,02:05;
ongole:02:39,02:40;
nellore:03:59,04:00;
gudur:05:13,05:15;
sullurpeta:05:53,05:55;
chennai central:07:50,07:52",1,wednesday
18526, brahmapur express,visakhapatnam,"visakhapatnam:--,15:00;
simhachalam:15:15,15:17;
kothavalasa:15:30,15:32;
vizianagaram:16:00,16:05;
cheepurupalli:16:28,16:30;
ponduru:16:48,16:50;
srikakulam road:17:08,17:10;
naupada:17:48,17:50;
palasa:18:25,18:30;
sompeta:19:23,19:25;
ichapuram:19:47,19:48;
brahmapur:20:35,20:38",7,
12807,samta express,visakhapatnam,"visakhapatnam:--,09:20;
simhachalam:09:36,09:38;
vizianagram:10:15,10:20;
bobbili:10:58,11:00;
parvatipuram:11:33,11:35;	
rayagada: 12:20,12:25;
muniguda:01:15,01:17;
ambodala:01:35,01:37;
kesinga	:02:10,02:12;
titlagarh:02:30,02:40;
kantabanji:03:15,03:25;
harishanker:03:50,03:52;
khariar:	04:23,04:25;
bagbahra: 04:45,04:47;
mahasamund: 05:18,05:20",2,
22882,pune superfast express,visakhapatnam,"
visakhapatnam:--,04:10;
duvvada:04:43,04:45;
vijayawada:09:25,09:35;
guntur:10:20,10:25;
nalgonda:12:37,12:38;
secunderabad:15:59,16:00;
wadi:21:10,21:15;
kalaburagi:21:52,21:55;
solapur:23:40,23:45;
pune:05:00,05:04",5,
20833,vande bharat express,visakhapatnam,"visakhapatnam:--,05:45;
samalkot:07:14,07:15;
rajahmundry:07:55,07:57;
vijayawada:09:50,09:55;
khammam:11:00,11:01;
warangal:12:05,12:06;
secunderabad:14:15,14:19",1,"monday,tuesday,wednesday,thursday,friday,saturday"
12863,smbt bengaluru superfast express,visakhapatnam,"
visakhapatnam:--,12:40;
samalkot:14:34,14:35;
rajahmundry:15:18,15:23;
tadepalligudem:15:54,15:55;
eluru:16:28,16:30;
vijayawada:18:10,18:20;
tenali :18:48,18:50;
bapatla:19:23,19:25;
chirala:19:38,19:40;
ongole:20:18,20:20;
nellore:21:48,21:50;
renigunta:00:15,00:20;
tirupati:00:45,00:50;
katpadi:02:48,02:50;
jolarpeta :04:08,04:10;
kuppam:04:29,04:30;
bangarapet:05:08,05:10;
krishnarajapuram:05:51,05:53;
bengaluru:06:45,06:47",6,wednesday
